"CROSSTAB TITLE : asian_female"
"STUDY NAME : Fall 2020 NHCS Adult Study 12-month"
"WEIGHT TYPE : Population (000)"
"START FIELD DATE : 11/04/2019"
"END FIELD DATE : 11/30/2020"
"DATE EXECUTED : 03/30/2023"
"SELECTED BASE : STUDY UNIVERSE"
,,"Total",,"MEAT ALTERNATIVES - HH USES?_YES",,"MEAT ALTERNATIVES - HH USES?_NO",,"MEAT ALTERNATIVES - HH USES?_DON'T KNOW/NO ANSWER",
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_65+) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_65+) ) ","Horizontal %",100%,**,26.5%,**,71.4%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $25,000)  AND  (AGE_65+) ) ","Index",100,**,96,**,100,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_18 - 24) ) ","Sample",5,**,2,**,3,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_18 - 24) ) ","Weighted(000)",23,**,7,**,17,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_18 - 24) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_18 - 24) ) ","Horizontal %",100%,**,30.4%,**,73.9%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_18 - 24) ) ","Index",100,**,110,**,104,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_25 - 34) ) ","Sample",21,**,12,**,9,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_25 - 34) ) ","Weighted(000)",432,**,352,**,80,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_25 - 34) ) ","Vertical %",0.2%,**,0.5%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_25 - 34) ) ","Horizontal %",100%,**,81.5%,**,18.5%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_25 - 34) ) ","Index",100,**,294,**,26,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_35 - 44) ) ","Sample",28,**,10,**,18,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_35 - 44) ) ","Weighted(000)",316,**,105,**,211,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_35 - 44) ) ","Vertical %",0.1%,**,0.2%,**,0.1%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_35 - 44) ) ","Horizontal %",100%,**,33.2%,**,66.8%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_35 - 44) ) ","Index",100,**,120,**,94,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_45 - 54) ) ","Sample",21,**,5,**,16,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_45 - 54) ) ","Weighted(000)",341,**,127,**,214,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_45 - 54) ) ","Vertical %",0.1%,**,0.2%,**,0.1%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_45 - 54) ) ","Horizontal %",100%,**,37.2%,**,62.8%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_45 - 54) ) ","Index",100,**,134,**,88,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_55 - 64) ) ","Sample",25,**,12,**,13,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_55 - 64) ) ","Weighted(000)",236,**,80,**,156,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_55 - 64) ) ","Vertical %",0.1%,**,0.1%,**,0.1%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_55 - 64) ) ","Horizontal %",100%,**,33.9%,**,66.1%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_55 - 64) ) ","Index",100,**,122,**,93,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_65+) ) ","Sample",20,**,9,**,11,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_65+) ) ","Weighted(000)",68,**,14,**,54,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_65+) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_65+) ) ","Horizontal %",100%,**,20.6%,**,79.4%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$25,000 - 49,999)  AND  (AGE_65+) ) ","Index",100,**,74,**,112,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_18 - 24) ) ","Sample",1,**,0,**,1,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_18 - 24) ) ","Weighted(000)",21,**,0,**,21,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_18 - 24) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_18 - 24) ) ","Horizontal %",100%,**,0%,**,100%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_18 - 24) ) ","Index",100,**,0,**,141,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_25 - 34) ) ","Sample",12,**,7,**,5,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_25 - 34) ) ","Weighted(000)",323,**,174,**,150,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_25 - 34) ) ","Vertical %",0.1%,**,0.3%,**,0.1%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_25 - 34) ) ","Horizontal %",100%,**,53.9%,**,46.4%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_25 - 34) ) ","Index",100,**,195,**,65,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_35 - 44) ) ","Sample",5,**,2,**,3,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_35 - 44) ) ","Weighted(000)",82,**,50,**,32,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_35 - 44) ) ","Vertical %",0%,**,0.1%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_35 - 44) ) ","Horizontal %",100%,**,61%,**,39%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_35 - 44) ) ","Index",100,**,220,**,55,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_45 - 54) ) ","Sample",13,**,2,**,11,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_45 - 54) ) ","Weighted(000)",77,**,11,**,67,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_45 - 54) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_45 - 54) ) ","Horizontal %",100%,**,14.3%,**,87%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_45 - 54) ) ","Index",100,**,52,**,122,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64) ) ","Sample",158,,52,*,103,,3,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64) ) ","Weighted(000)",976,,332,*,643,,1,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64) ) ","Vertical %",0.4%,,0.5%,*,0.4%,,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64) ) ","Horizontal %",100%,,34%,*,65.9%,,0.1%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64) ) ","Index",100,,123,*,93,,9,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_65+) ) ","Sample",1,**,0,**,1,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_65+) ) ","Weighted(000)",0,**,0,**,0,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_65+) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_65+) ) ","Horizontal %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$50,000 - $59,999)  AND  (AGE_65+) ) ","Index",0,**,0,**,0,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_18 - 24) ) ","Sample",2,**,0,**,2,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$60,000 - $74,999)  AND  (AGE_18 - 24) ) ","Weighted(000)",7,**,0,**,7,**,0,**
