"CROSSTAB TITLE : MRI-Simmons_Crosstab"
"STUDY NAME : Fall 2020 NHCS Adult Study 12-month"
"WEIGHT TYPE : Population (000)"
"START FIELD DATE : 11/04/2019"
"END FIELD DATE : 11/30/2020"
"DATE EXECUTED : 04/02/2023"
"SELECTED BASE : STUDY UNIVERSE"
,,"Total",,"MEAT ALTERNATIVES - HH USES?_YES",,"MEAT ALTERNATIVES - HH USES?_NO",
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,100%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",100,**,0,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",25,**,9,**,16,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",155,**,77,**,78,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0.1%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,49.7%,**,50.3%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,179,**,71,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",47,*,9,**,38,*
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",607,*,124,**,483,*
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.2%,*,0.2%,**,0.3%,*
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,*,20.4%,**,79.6%,*
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,*,74,**,112,*
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",13,**,10,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",132,**,87,**,44,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0.1%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,65.9%,**,33.3%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,238,**,47,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",6,**,3,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",44,**,40,**,4,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,90.9%,**,9.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,328,**,13,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",1,**,0,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",4,**,0,**,4,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,100%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",100,**,0,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",25,**,9,**,16,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",155,**,77,**,78,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0.1%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,49.7%,**,50.3%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,179,**,71,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",15,**,4,**,10,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",359,**,106,**,227,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.1%,**,0.2%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,**,29.5%,**,63.2%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,**,107,**,89,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",11,**,4,**,6,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",57,**,10,**,45,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,17.5%,**,78.9%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,63,**,111,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",5,**,2,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",46,**,31,**,15,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,67.4%,**,32.6%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,243,**,46,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",2,**,0,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",94,**,0,**,94,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,100%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",100,**,0,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",16,**,8,**,8,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",164,**,90,**,74,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0.1%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,54.9%,**,45.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,198,**,63,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",15,**,4,**,10,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",359,**,106,**,227,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.1%,**,0.2%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,**,29.5%,**,63.2%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,**,107,**,89,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",11,**,4,**,6,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",57,**,10,**,45,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,17.5%,**,78.9%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,63,**,111,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",5,**,2,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",46,**,31,**,15,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,67.4%,**,32.6%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,243,**,46,**
