Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
Mirai Foods AG (fmr. AlphaMeats),Switzerland-based company producing cultivated meat products ,Cultivated,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,,Europe,Switzerland,,Zürich Area,http://alphameats.com,2019,"Christoph Mayr, Suman Kumar Das",01.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/ZaPuR9dse6BlS84UEPcNrw/GVGpgOVn8bfBw3Nyk4nC0aiIholhjahPvO3BTxN2DRdwPsfXeP3Z4MnZIqRcsbXBCOOuvrjnG9f20KDvp81cEQ/kiWt7xwpKWbfTzAqDYCFVOL96e22shafNypBRjFUhs8)
VOW Food,"Australia-based cultivated meat startup working growing unconventional and exotic animal meats (i.e. kangaroo, zebra, tortoise)",Cultivated,Meat,"Cell line development,Cell culture media,End product formulation and manufacturing",Whole muscle meat,Other,,Australia/New Zealand,Australia,New South Wales,Sydney,https://www.vowfood.com/,2019,"George Peppou, Tim Noakesmith",5ece22fb94d2b6f9f63256a6_Website Mark-p-500.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/-jSyxBy_veHaJ_g2tTcXkQ/oyGU3-Vwy9DU-Q_uSOSuEvQ-FqJuvtpPEc1TETv4V_omnFbF8mnV_gkKvYcTqkuA96llMym8gCaB3Uvs4oBMPLWbDC9zkrHGajIvSBBev0jK_vnym5YYObPB8Y5bPACGHCjZX-wrGIyUUkVmsHLzfA/f2gio17It4cXZbk-lzC7JsGOjuh-nOXOsndxl-OgG_Q)
Eggless,"Produces eggless mayos, soy and pea varieties are available. ",Plant-based,Eggs,End product formulation and manufacturing,Other,,"Soy,Pea",Latin America,Chile,N/A,Santiago,http://www.eggless.cl/,2011,Matias Muchnick,Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/VHqMC6SUqqUFzcY5QWjtPg/d3lVlMI0xoy8ClQDFCWWf_TTv9huiJUzb7LnSTrD3sMp_vOEhoe-I7LIFCOl1Qlel9HIS95ssrNPYergtq560xJXFw_CpdXTOvLY9IvzJ6w/mcM3C7zKkGjT6fsIbxUAO_roxla_X415Z7OLLjfkIuo)
"Eat Just, Inc. ","U.S.-based company with a plant-based egg brand called JUST Egg and a cultivated meat subsidiary called GOOD Meat, with plant-based products including liquid egg, folded egg, and sous vide egg bites as well as cultivated meat (chicken).  ","Plant-based,Cultivated","Meat,Eggs",End product formulation and manufacturing,"Eggs,Whole muscle meat",Chicken,Mung Bean,U.S. and Canada,United States,California,San Francisco,"https://www.ju.st 
https://goodmeat.co",2011,"Josh Tetrick, Josh Balk",eib38f3x2wa0tlig29wf.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/oIoeTRU2b4cCp2CnvO_y6A/hUjm5LMo6h1gfILPpQMDqCe6-lf5qo9wWkfak8PnQ_bVNrEkQo-hQSdy_71ffuSHaQtL0NW_SVLrUqX8ZG9VuYREBOMILa9p-iFgsKxXadc/ZXQqYbpKmwBq5Sepv7tYAoXtqlQOwssAMfHBIat7GlI)
Cubiq Foods,"Spain-based startup working on cultivated fat, also developing cell-based omega-3",Cultivated,Meat,Ingredient optimization,,,,Europe,Spain,,Barcelona,http://www.cubiqfoods.com/,2018,"Andrés Montefeltro, Raquel Revilla",hma3ityiuibmt9cl47oq.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/U5JJSocISX9IVpmYK5vRqg/vrNXAIXAUjZDCgUW-tAR0YdrqohmRJ7wUxSb1iD7tdHSfhxO0RgkEa8JIdQezcHKHeGgQ4EcksOOtXVlOWvIwIUeAZ8ZyI71x4AQtHjlax0/Q6PxzK8ibyiIaUANSi0CqYirgbOYkUT0SAQ8eMG4kJA)
Gosh!,"Produces plant-based burgers, bites, and sausages.",Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Other meat","Beef/veal,Chicken","Chickpea,Mushrooms",Europe,United Kingdom,N/A,London,https://www.goshfood.com/,2002,Jane Rayner,Screen Shot 2021-02-08 at 3_35_34 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/ALOkTFAW0RiEvDh_5c9TYQ/_Tywq4BX1AABSjD5Nv7moT2u6ImbCSy-j5a3XNa3rCcuUW4--5M6m7lNZb-7ij65roFKFOyI-1rw-tIgeJGX_d6qry4VEAfA8RbA-Gl1pZlqantHk-6RxvkCMUZhakHA/8wWORWW4aMJ3uBAm1dJVqcMTJ-ROrWrZYsWI8B4ZMCY)
SuperMeat,Israel-based company developing cultivated chicken,Cultivated,Meat,End product formulation and manufacturing,Whole muscle meat,Chicken,,Africa/Middle East,Israel,"Rehovot, Israel","Rehovot, Israel",https://www.supermeat.com/,2015,"Ido Savir, Koby Barak, Shir Friedman",Screen Shot 2021-02-08 at 3_41_44 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/j4_BgE9gwD5Wm_dXFdY52w/VT6KNpoEVhJFCh73Dnq3nleHBowkhGTqvQDjK1Giuq4MNCIkriiEIsb7atcgE8fYMoyYtJW68XZyKzHXKEpKWzv8VQ2HEMOFVvVVcNDVz9ykvXjWXjSamAodovvi0QWd/jUCSIDwFWHhy6yFIor9-McZgwJJGFZb6v6h9b-nqT2E)
Believer Meats,"Israel-based startup working on cultivated meat products, such as chicken kebab, using muscle and fat production and media recycling (formerly known as Future Meat Technologies) ",Cultivated,Meat,"Cell line development,Scaffolding and structure",Whole muscle meat,,,Africa/Middle East,Israel,,Jerusalem,https://www.future-meat.com/,2017,Yaakov Nahmias,logo.svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/44_Lv_X6tvUiDSuN9KZk_g/LtGlvyFcy1mfoFIszem4giS-pteZasRRnkilymMWlpBIbX-do7CkxRiy5-qeENehDWVWM5_L-O99Tlgh8mQSHg/Xkq11iRQ2W52eDLgXc-7kVKjgkDLAcUzE-5Ult8NoP0)
Lab Farm Foods,"U.S.-based company producing various cultivated meats, including pork and chicken nuggets",Cultivated,Meat,End product formulation and manufacturing,Whole muscle meat,"Pork,Chicken",,U.S. and Canada,United States,New York,New York,https://www.labfarmfoods.com/,2019,"Dave Schnettler, Tiziano Barberi",logo (3).svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/_wgnsh81XNTUUDKdyoQpEA/d571GAAqOviEjhRUFvjUZuZUGUrjhguVH6cCB4VEQA3owRW2DYj_1O0z9RkGlShz8NO8BSwLAzlhZ9vkznaUY8fxyEsfd7KviGqBWLmsqXw/BeT4aryRM0ohY0ugmvxX0EwALpOvUaVPeXP52aIRjOw)
Wildtype,U.S.-based startup working on cultivated salmon,Cultivated,Seafood,"End product formulation and manufacturing,Cell line development",Whole muscle meat,Fish,,U.S. and Canada,United States,CA,San Francisco, https://www.wildtypefoods.com/,2017,Justin Kolbeck and Aryé Elfenbein,Primary_Wordmark-RGB.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Oxr_0O8YL20da5OnmfaNpQ/hRB3CxEoAslMgjO08J8GvSokaCl1uH0qAjplsWE8nhTy6rNiAmc-neXrOXD92u3RRYHelmxB8UIvBLYj5vRtqtnav_mi0dpfMC34SqgqZVU/xZwHivjAdqC6jdan4LjviY6bmS-UdRAWP3Ra74dZSlM)
Mosa Meat,Netherlands-based startup working on cultivated beef in collaboration with Mark Post at Maastricht University ,Cultivated,Meat,"End product formulation and manufacturing,Cell culture media,Bioprocess design,Cell line development",,Beef/veal,,Europe,Netherlands,,Maastricht,https://www.mosameat.com/,2015,"Peter Verstrate, Mark Post",MosaMeat+Primary+Logo+Deep+Blue+Colour.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/3m1XiLz81J-8mQ8hhDeHnA/T3yvB-GxbpdxEzs9nE7yrfmEazJR-0M0FAo3EfeYoaadkxqs84GAAmKMFwYYHGefzbMt5WPrNBW2ZxtZJEh_o4UJ7BWq4jw0B7EXeFzZ8YyMthSlhspyLIoPwdM-e_8t/6ALGBvZRLLB1Ecw9VPtUM5UgfiGBfpp67plneTb2QZQ)
New Age Eats,U.S.-based startup producing on cultivated meat (formerly New Age Meats),Cultivated,Meat,End product formulation and manufacturing,,,,U.S. and Canada,United States,California,San Francisco,http://www.newagemeats.com/,2018,"Brian Spears, Andra Necula",logo-min.svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/OB_HzFqiwqWVXh-0WH0JqA/xQhuTZLK9rOYhOQpM7frLBKhEE92sFwQg1LONNrMEd3mxygzel8c9zzMSsoxZSg9fYUGCcrzRmxMoLFSBiNGVVdiY1jTtcHtG3ZhUogGPZA/VLHHrDg8QGo6qW7Bh8k5_xEKYPmpfPXgsTVtifiB6vc)
Dutch Weed Burger,"Producers of wide range of products like weed burger, weed balls, sea-nuggets and sea-wharma.",Plant-based,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,Seaweed,Europe,Netherlands,,Amsterdam,http://dutchweedburger.com/en/ ,2012,"Mark Kulsdom, Lisette Kreischer",Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/gaQgh5wIjqkYPZUZJU_siw/U9TP-ZikZVHiKt-Z-Z_5hdFhSkStycI1vgmSNZadU_sI6k-1ZVWbUPs8GHUvpILAPMYXCsUUeos-CLaWJHTH8KxK9CwF5jHKVwNVwRzZRqs/lb8QX-Z9OyM4QIYlR7gYQISALsEVoGo_lxm3JxPjRuQ)
Lightlife Foods,"Produces prepared meals/burritos/breakfast sandwiches, some of which are vegan/vegetarian. Benevolent bacon, veggie sausage, and seitan also sold separately",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Pork,Beef/veal,Chicken",Pea,U.S. and Canada,United States,MA,Turners Falls,https://lightlife.com/,1979,Michael Cohen,Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/qOBCQ3mqCc2GWqa16AirAA/T--uNlnqsEp1RmgQKpLqITdIOA6eqMeJygSO7BnHF6b8CEMBhj2lgbPB6kdOZk7U69CPlvRbdk2Edc1JIqpZ7jqa8FlOde3w8pHrhKoYQdw/xY4Uo3_MdXTmTVDg5Xq4nh4qPeiZa_gyG-WgTxvLhbk)
Evo Foods,Startup working on lentil-based egg replicas,Plant-based,Eggs,End product formulation and manufacturing,Eggs,,,Asia Pacific,India ,Maharashtra,Mumbai,https://evofoods.in/,2019,"Kartik Dixit, Shraddha Bhansali",etwqbqpt1dn1z2z4cxoa.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/lZOYScKmFa-DU6Q8pYCeMg/vMEvMtr_scdxFDXZyzMmBCn839Is51tbmDOMCXx83mYkAiKMRvtVpbC8k-1AP3dWCSX6bRx-AGdhRtKS4f7pph9XkfLjA79ddclTqrpJBO0/Io3N4u074EZBMTsYWRRuLJE5HG708zNd5iyMNuWriwQ)
Jewels of the Forest,Produces mushroom-based jerky,Plant-based,Meat,End product formulation and manufacturing,Other meat,Beef/veal,Mushrooms,U.S. and Canada,United States,CA,Occidental,http://www.shroomjerky.com/,2016,Darren Racusen,uj0xtiiqrqw4fli2vsz4.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/WcQModpy5YJJg9vfMjTtzQ/I7em9_b__P0sa1dcx_QvAG3nPduqtBmZVTIDvoYXZ4Fh4PoG9c1OGb4yFOP6nc0LHIkAfz_ah6a1iZ85y2PcowNoWtAttU-nHhDkGTkBVK0/wNJxMLjzVC622TFcYsMvR4k4cAptsWpfcgUc4K83FPc)
Vegusto,"Maker of plant-based cheese and meats, along with some vegan pet foods.",Plant-based,"Dairy,Meat",End product formulation and manufacturing,"Cheese,Ground meat",,"Wheat,Coconut,Sunflower",Europe,Switzerland,,,https://vegusto.co.uk/,2012,,vegustofr-alternature-logo-1593767551.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Mn98YYb8uEYEDRuai3a-hw/0eqboe67Q5XUJF9WAL3u5JU8tJkVyRPASlTtLEsTByWY5e6Q2JTWmfAmSmevn2nzdAw_ojFAdRplk_d1BF1USKUXM3I_Y3Fe8289SWqGQepentT6ftpJyPJItCvTj6EowwTqvX9_9JnQteqQPyeJbw/4hkxNFg3wR9Z0TW5ln7RhX5bEPTsOIvplH91tVNyYhw)
Wheaty,Maker of seitan-based meats,Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Cheese",,"Wheat,Coconut,Potato",Europe,Germany,,,https://www.wheaty.com/,1993,,Screen Shot 2021-01-06 at 11_46_46 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/wM7c25E0jrcycnJZqSY44Q/2X6I55gnO843Gb8YzaqttvoCgPhohvd8ulVULi-8CzSEalpQSoMlLuhKm9dtzexMnoSUOGK1yGRqi7Hamiw7oVkmlPNi9KXpSDo9Odq7ToumrZthMO2hR-dejBvTJw0P/wwjCFNsqftXfCFexqLDgrdu3pX1fokAKRNbTztCKQeU)
